NO,"병원명","홈페이지","Final URL",CMS,"상태","채널수","의사수","의료진페이지","추출된의사","추출된채널","partial사유","에러로그"
9241,"피브비의원",https://pvbclinic.com/,"","",success,5,1,Yes,"배서엽(대표원장)","Instagram:https://www.instagram.com/pvbclinic; KakaoTalk:https://pf.kakao.com/_xjLjRn; NaverBlog:https://blog.naver.com/pvbclinic; NaverMap:https://map.naver.com/p/entry/place/1022274570?placePath=%2Fhome; Phone:tel:0517101140","",
9902,"메디아트의원",http://www.bmediart.co.kr/,"",cafe24,success,3,1,Yes,"한디엘(원장)","Instagram:https://www.instagram.com/psmediart; KakaoTalk:https://pf.kakao.com/_xdNCxju; Phone:tel:0516287582","",
10846,"압구정리더스피부과의원",https://leaders-aj.com/,"","",success,4,19,Yes,"강승희(원장); 김수홍(원장); 김신우(원장); 김영재(원장); 지도(전문의); 김정아(원장); 노낙경(원장); 정책위(원장); 박상진(원장); 신장현(원장); 양지혜(원장); 윤성재(원장); 이덕우(원장); 이동경(원장); 이득표(원장); 이재원(원장); 이정엽(원장); 임상희(원장); 장경애(원장)","KakaoTalk:http://pf.kakao.com/_NHteM/chat; NaverTalk:https://talk.naver.com/ct/wc4d4x; Phone:tel:0234437541; Phone:tel:15887833","",
10849,"광피부과의원",https://glowderm.kr/,"",imweb,success,9,1,Yes,"조광현(대표원장)","Instagram:https://www.instagram.com/glowderm_cd; Instagram:https://www.instagram.com/glowderm_cheongdam; KakaoTalk:http://pf.kakao.com/_xixkYHK/chat; NaverBlog:https://blog.naver.com/glowderm; Phone:tel:025662701; Phone:tel:025662702; YouTube:https://www.youtube.com/@Dr_PBG; YouTube:https://www.youtube.com/@doctorskin_kwang; YouTube:https://www.youtube.com/channel/UCHQ1sKCV0R3Xwk4-Ck2dV-A","",
10922,"갤러리아피부과의원",http://galleriaskin3.com/,"","",success,9,1,Yes,"서지명(원장)","Instagram:https://www.instagram.com/galleriaskin; Instagram:https://www.instagram.com/galleriaskin3; KakaoTalk:http://pf.kakao.com/_Avkxcxj; KakaoTalk:https://pf.kakao.com/_JUUnxb; NaverBlog:https://blog.naver.com/PostList.nhn?blogId=gskin1240; NaverBlog:https://blog.naver.com/galleriaderma; NaverBlog:https://blog.naver.com/mg_phd; Phone:tel:025739839; Phone:tel:025789839","",
10977,"목동미소가인피부과의원",http://www.misogain.co.kr/md/,"",cafe24,success,2,1,Yes,"김영진(원장)","KakaoTalk:https://pf.kakao.com/_mxkzwd; Phone:tel:0226439900","",
11250,"백피부과의원",http://skindr.co.kr/,"","",partial,0,0,No,,,"채널+의사 모두 미추출","Rule-based (1 candidates) + AI navigation all failed. Screenshot: /Users/woogi/Development/claude-craft/data/clinic-results/screenshots/11250_doctors.jpg"
11323,"헤아린피부과의원",https://hearinskin.co.kr,https://hearinskin.co.kr/,"",success,2,1,Yes,"윤철현(대표원장)","Phone:tel:0319947506; Phone:tel:0319947507","",
11445,"봉피부과의원",http://drbong.net,http://drbong.net/,wordpress,success,1,1,Yes,"하욱봉(대표원장, 피부과전문의)",Phone:tel:0312118275,"",
11542,"다채움피부과의원",http://www.chaeumskin.com/,"","",success,1,1,Yes,"이정우(원장)",Phone:tel:0313577888,"",
11648,"서울피부과의원",https://csderma.kr/,https://www.csderma.kr/,"",success,9,2,Yes,"박세영(원장); 이상훈(전문의)","Instagram:https://www.instagram.com/seoul_derma_cj; Instagram:https://www.instagram.com/seoul_derma_cj?igsh=MTQ5cTMzODBpb3FsNg%3D%3D; KakaoTalk:https://pf.kakao.com/_YxkwHxj/chat; NaverBlog:https://blog.naver.com/PostList.naver?blogId=csderma&categoryNo=11; NaverBlog:https://blog.naver.com/PostList.naver?blogId=csderma&categoryNo=14; NaverBlog:https://blog.naver.com/PostList.naver?blogId=csderma&categoryNo=8; NaverBooking:https://booking.naver.com/booking/13/bizes/936451; Phone:tel:0432841300; Phone:tel:0432871300","",
11775,"미즈피부과의원",http://www.mizskin.com/,"","",success,4,1,Yes,"이현주(대표원장)","KakaoTalk:https://pf.kakao.com/_xhxinYxb; NaverTalk:http://talk.naver.com/w5uir4; Phone:tel:0533418275; Phone:tel:0536290077","",
11823,"미소피부과의원",http://miso4ever.wcw.co.kr/,"","",success,1,1,Yes,"권순욱(대표원장)",Phone:tel:0537611221,"",
12064,"부산맥스웰피부과의원",http://busan.maxwellhair.com,https://busan.maxwellhair.com/,wordpress,success,3,6,Yes,"김택훈(대표원장); 박성호(원장); 문경환(원장); 이영욱(원장); 성균관(전문의); 성형외(원장)","Instagram:https://www.instagram.com/maxwell_hair; Phone:tel:0518065824; YouTube:https://www.youtube.com/@maxwellhairclinic","",
