"NO","Hospital","Status","Homepage","Channels","Doctors","Channel Count","Doctor Name","Role","Source","Photo","Education (top 3)","Career (top 3)","Credentials (top 3)","Final URL"
"1137","엔젤미의원","success","https://angelmiclinic.com/","[Instagram] http://instagram.com/angelmiclinic
[Instagram] https://instagram.com/angelmiclinic
[KakaoTalk] https://pf.kakao.com/_xmMPKM
[NaverBlog] https://blog.naver.com/angelmi8830
[YouTube] https://www.youtube.com/channel/UClRUs2te2o50vfyELnf3GRw","4","5","백승만","대표원장","dom_text","N","","뷰티 메디컬 클리닉입니다.","한국미용학회 정회원 | 한국비만학회 정회원 | 대한미용성형레이저학회 정회원","https://angelmiclinic.com/"
"1137","엔젤미의원","success","https://angelmiclinic.com/","[Instagram] http://instagram.com/angelmiclinic
[Instagram] https://instagram.com/angelmiclinic
[KakaoTalk] https://pf.kakao.com/_xmMPKM
[NaverBlog] https://blog.naver.com/angelmi8830
[YouTube] https://www.youtube.com/channel/UClRUs2te2o50vfyELnf3GRw","4","5","김동철","대표원장","dom_text","N","","뷰티 메디컬 클리닉입니다.","한국미용학회 정회원 | 한국비만학회 정회원 | 대한미용성형레이저학회 정회원","https://angelmiclinic.com/"
"1137","엔젤미의원","success","https://angelmiclinic.com/","[Instagram] http://instagram.com/angelmiclinic
[Instagram] https://instagram.com/angelmiclinic
[KakaoTalk] https://pf.kakao.com/_xmMPKM
[NaverBlog] https://blog.naver.com/angelmi8830
[YouTube] https://www.youtube.com/channel/UClRUs2te2o50vfyELnf3GRw","4","5","김누리","원장","dom_text","N","","뷰티 메디컬 클리닉입니다.","피부비만성형학회 정회원 | 대한임상미용의학회 정회원 | 대한비만미용체형학회 정회원","https://angelmiclinic.com/"
"1137","엔젤미의원","success","https://angelmiclinic.com/","[Instagram] http://instagram.com/angelmiclinic
[Instagram] https://instagram.com/angelmiclinic
[KakaoTalk] https://pf.kakao.com/_xmMPKM
[NaverBlog] https://blog.naver.com/angelmi8830
[YouTube] https://www.youtube.com/channel/UClRUs2te2o50vfyELnf3GRw","4","5","최영훈","원장","dom_text","N","","뷰티 메디컬 클리닉입니다.","대한비만미용체형학회 정회원","https://angelmiclinic.com/"
"1351","청담잇츠미의원","partial","http://itsme1.kr/","[Instagram] https://www.instagram.com/cditsme1
[Instagram] https://www.instagram.com/itsme_clinic_cj_d
[KakaoTalk] https://pf.kakao.com/_UxfmQn
[NaverBooking] https://m.booking.naver.com/booking/13/bizes/1565636?theme=place&service-target=map-pc&lang=ko&area=pll
[YouTube] https://www.youtube.com/channel/UCmP907OimDzU6yJZdIuL4Kg","0","5","","","","","","","","http://itsme1.kr/"
"1441","클리니크후즈후의원","success","http://www.cliniquehushu.com/","[Instagram] https://www.instagram.com/cliniquehushu_official
[KakaoTalk] http://pf.kakao.com/_gJVul
[KakaoTalk] http://pf.kakao.com/_gJVul/chat
[NaverBlog] https://blog.naver.com/hushu_world
[Phone] tel:0215887536
[Phone] tel:025456063
[YouTube] https://www.youtube.com/c/hushuskin
[YouTube] https://www.youtube.com/channel/UCrzgxeSzwjlE1IZLYGgOB6w","5","8","홍경국","원장","dom_text","N","경희의료원 레지던트 수료 | 경희대학교 의과대학, 의학박사(MD.Ph.D) | 서울과학고등학교 졸업","국군 대전병원 피부과장","대한 피부과학회 정회원 | 대한 피부과의사회 정회원 | 대한 모발학회 정회원","http://www.cliniquehushu.com/"
"1441","클리니크후즈후의원","success","http://www.cliniquehushu.com/","[Instagram] https://www.instagram.com/cliniquehushu_official
[KakaoTalk] http://pf.kakao.com/_gJVul
[KakaoTalk] http://pf.kakao.com/_gJVul/chat
[NaverBlog] https://blog.naver.com/hushu_world
[Phone] tel:0215887536
[Phone] tel:025456063
[YouTube] https://www.youtube.com/c/hushuskin
[YouTube] https://www.youtube.com/channel/UCrzgxeSzwjlE1IZLYGgOB6w","5","8","이규엽","원장","dom_text","N","서울과학고등학교 졸업 | 연세대학교 의과대학 수석 졸업 | 세브란스병원 인턴 수료","국군 대전병원 피부과장 | 아이디병원 쁘티센터 원장","대한 아토피피부염학회 정회원 | 대한 줄기세포치료학회 정회원 | 대한 줄기세포조직재생학회 정회원","http://www.cliniquehushu.com/"
"1441","클리니크후즈후의원","success","http://www.cliniquehushu.com/","[Instagram] https://www.instagram.com/cliniquehushu_official
[KakaoTalk] http://pf.kakao.com/_gJVul
[KakaoTalk] http://pf.kakao.com/_gJVul/chat
[NaverBlog] https://blog.naver.com/hushu_world
[Phone] tel:0215887536
[Phone] tel:025456063
[YouTube] https://www.youtube.com/c/hushuskin
[YouTube] https://www.youtube.com/channel/UCrzgxeSzwjlE1IZLYGgOB6w","5","8","오세웅","원장","dom_text","N","국군대학병원 피부과장 | 연세대학교 세브란스병원 피부과 레지던트 | 연세대학교 세브란스병원 인턴","아이디병원 쁘티센터 원장","부과의사회 정회원 | 대한 모발학회 정회원 | 대한 여드름학회 정회원","http://www.cliniquehushu.com/"
"1441","클리니크후즈후의원","success","http://www.cliniquehushu.com/","[Instagram] https://www.instagram.com/cliniquehushu_official
[KakaoTalk] http://pf.kakao.com/_gJVul
[KakaoTalk] http://pf.kakao.com/_gJVul/chat
[NaverBlog] https://blog.naver.com/hushu_world
[Phone] tel:0215887536
[Phone] tel:025456063
[YouTube] https://www.youtube.com/c/hushuskin
[YouTube] https://www.youtube.com/channel/UCrzgxeSzwjlE1IZLYGgOB6w","5","8","최윤진","원장","dom_text","N","고려대학교 법학과, 생명과학부 졸업 | 이화여자대학교 의학전문대학원 석사 | 이화여자대학교부속 목동병원 피부과 레지던트 수료","아이디병원 쁘티센터 원장","피부과의사회 정회원 | 대한 모발학회 정회원 | 대한 여드름학회 정회원","http://www.cliniquehushu.com/"
"1441","클리니크후즈후의원","success","http://www.cliniquehushu.com/","[Instagram] https://www.instagram.com/cliniquehushu_official
[KakaoTalk] http://pf.kakao.com/_gJVul
[KakaoTalk] http://pf.kakao.com/_gJVul/chat
[NaverBlog] https://blog.naver.com/hushu_world
[Phone] tel:0215887536
[Phone] tel:025456063
[YouTube] https://www.youtube.com/c/hushuskin
[YouTube] https://www.youtube.com/channel/UCrzgxeSzwjlE1IZLYGgOB6w","5","8","박혜란","원장","dom_text","N","동병원 피부과 레지던트 수료 | 대원외국어고등학교 졸업 | 연세대학교 졸업","아이디병원 쁘티센터 원장","대한피부과학회 정회원 | 대한피부과의사회 정회원 | 대한피부항노화연구회 정회원","http://www.cliniquehushu.com/"
"1549","브랜뉴의원","success","https://brandnewclinic.com/","[Instagram] https://www.instagram.com/brandnew_clinic
[KakaoTalk] http://pf.kakao.com/_KsZkM/chat
[KakaoTalk] https://pf.kakao.com/_KsZkM
[NaverTalk] http://talk.naver.com/W5TYCN
[Phone] tel:025113075
[YouTube] https://www.youtube.com/@brandnew.clinic","3","6","윤성은","대표원장","dom_text","N","가톨릭대학교 서울성모병원 수련의 | 가톨릭대학교 서울성모병원 전공의 수료 | 가톨릭대학교 서울성모병원 전문의","브랜뉴클리닉은 의료 한류의 선구자적인 역할을 해오고 있습니다. | 現 브랜뉴클리닉 대표원장 | 現 브랜뉴클리닉 레이저 센터 원장","現 대한미용성형레이저의학회 수석국제 학술이사 | 現 대한비만미용치료학회 명예이사 | 대한미용성형레이저학회 정회원","https://brandnewclinic.com/"
"1549","브랜뉴의원","success","https://brandnewclinic.com/","[Instagram] https://www.instagram.com/brandnew_clinic
[KakaoTalk] http://pf.kakao.com/_KsZkM/chat
[KakaoTalk] https://pf.kakao.com/_KsZkM
[NaverTalk] http://talk.naver.com/W5TYCN
[Phone] tel:025113075
[YouTube] https://www.youtube.com/@brandnew.clinic","3","6","이정욱","원장","dom_text","N","가톨릭대학교 서울성모병원 수련의 | 가톨릭대학교 서울성모병원 전공의 수료 | 가톨릭대학교 서울성모병원 전문의","現 브랜뉴클리닉 레이저 센터 원장 | 前 케이트 클리닉 원장 | 現 브랜뉴클리닉 마취과&레이저 센터 원장","대한미용성형레이저학회 정회원 | 대한비만학회 정회원 | 대한미용웰빙학회 정회원","https://brandnewclinic.com/"
"1549","브랜뉴의원","success","https://brandnewclinic.com/","[Instagram] https://www.instagram.com/brandnew_clinic
[KakaoTalk] http://pf.kakao.com/_KsZkM/chat
[KakaoTalk] https://pf.kakao.com/_KsZkM
[NaverTalk] http://talk.naver.com/W5TYCN
[Phone] tel:025113075
[YouTube] https://www.youtube.com/@brandnew.clinic","3","6","전지영","원장","dom_text","N","통증고위자 과정 수료 | 이화여자대학교 목동병원 마취통증의학과 전공의 | 대한통증학회 TPI 과정 수료","서울성모병원 전문의 | 現 브랜뉴클리닉 마취과&레이저 센터 원장 | 前 서울세계로병원 원장","대한미용성형레이저학회 정회원 | 대한비만학회 정회원 | 대한미용웰빙학회 정회원","https://brandnewclinic.com/"
"1668","차이의원","success","https://chaiclinic.co.kr","[KakaoTalk] https://pf.kakao.com/_jUzXxl?from=qr
[NaverBooking] https://map.naver.com/v5/entry/place/1142775705?placePath=%2F%3Fac%3D0%26adm_lat%3D37.5164444%26adm_long%3D127.1114868%26bizId%3D1142775705%26bookingRedirectUrl%3Dhttps%3A%2F%2Fm.booking.naver.com%2Fbooking%2F13%2Fbizes%2F286956%3Ftheme%3Dplace%26debug%3D0%26deviceType%3Dpc%26lgl_lat%3D37.510933%26lgl_long%3D127.123925%26lgl_rcode%3D09710111%26ngn_country%3DKR%26nlu_query%3D%7B%22nluQuery%22%3A%22%EC%B0%A8%EC%9D%B4%EC%9D%98%EC%9B%90%22%2C%22hospital%22%3A%7B%22source%22%3A%22placesearch%22%2C%22sid%22%3A%221142775705%22%2C%22q%22%3A%22%EC%B0%A8%EC%9D%B4%EC%9D%98%EC%9B%90%22%7D%7D%26nqx_theme%3D%7B%22theme%22%3A%7B%22sub%22%3A%5B%7B%22name%22%3A%22hospital%22%7D%5D%7D%7D%26r1%3D%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%26r2%3D%EC%86%A1%ED%8C%8C%EA%B5%AC%26r3%3D%EB%B0%A9%EC%9D%B42%EB%8F%99%26rcode%3D09710562%26rev%3D44%26sm%3Dtop_hty%26spq%3D0%26ssc%3Dtab.nx.all%26target%3Dpc%26where%3Dnexearch%26x%3D127.1114868%26y%3D37.5164444&c=15%2C0%2C0%2C0%2Cdh
[Phone] tel:01029003306
[Phone] tel:0269336626
[Phone] tel:0269336627
[YouTube] https://www.youtube.com/channel/UCM2CEyZRZLiUfqosN_wzNiA","2","6","조원진","대표원장","dom","Y","가톨릭중앙의료원 전공의 수료 | 한양대학교 부속 명지병원 가정의학과 전문의","(現) 차이의원 대표원장 | (前) 합정BLS의원 원장 | (前) 청담 BLS의원 원장","대한가정의학회 회원 | 대한 미용성형레이저학회 회원 | 대한비만미용치료학회 회원","https://chaiclinic.co.kr/"
"1668","차이의원","success","https://chaiclinic.co.kr","[KakaoTalk] https://pf.kakao.com/_jUzXxl?from=qr
[NaverBooking] https://map.naver.com/v5/entry/place/1142775705?placePath=%2F%3Fac%3D0%26adm_lat%3D37.5164444%26adm_long%3D127.1114868%26bizId%3D1142775705%26bookingRedirectUrl%3Dhttps%3A%2F%2Fm.booking.naver.com%2Fbooking%2F13%2Fbizes%2F286956%3Ftheme%3Dplace%26debug%3D0%26deviceType%3Dpc%26lgl_lat%3D37.510933%26lgl_long%3D127.123925%26lgl_rcode%3D09710111%26ngn_country%3DKR%26nlu_query%3D%7B%22nluQuery%22%3A%22%EC%B0%A8%EC%9D%B4%EC%9D%98%EC%9B%90%22%2C%22hospital%22%3A%7B%22source%22%3A%22placesearch%22%2C%22sid%22%3A%221142775705%22%2C%22q%22%3A%22%EC%B0%A8%EC%9D%B4%EC%9D%98%EC%9B%90%22%7D%7D%26nqx_theme%3D%7B%22theme%22%3A%7B%22sub%22%3A%5B%7B%22name%22%3A%22hospital%22%7D%5D%7D%7D%26r1%3D%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%26r2%3D%EC%86%A1%ED%8C%8C%EA%B5%AC%26r3%3D%EB%B0%A9%EC%9D%B42%EB%8F%99%26rcode%3D09710562%26rev%3D44%26sm%3Dtop_hty%26spq%3D0%26ssc%3Dtab.nx.all%26target%3Dpc%26where%3Dnexearch%26x%3D127.1114868%26y%3D37.5164444&c=15%2C0%2C0%2C0%2Cdh
[Phone] tel:01029003306
[Phone] tel:0269336626
[Phone] tel:0269336627
[YouTube] https://www.youtube.com/channel/UCM2CEyZRZLiUfqosN_wzNiA","2","6","김지현","원장","dom","Y","건국대학교병원 가정의학과 전문의 | 가톨릭중앙의료원 전공의 수료 | 한양대학교 부속 명지병원 가정의학과 전문의","(現) 차이의원 원장 | (前) 합정BLS의원 원장 | (前) 피에이치디피부과 원장","대한가정의학회 회원 | 대한미용성형레이저의학회 회원 | 대한비만미용체형학회 회원","https://chaiclinic.co.kr/"
"1714","샤인빔의원","partial","http://hongdae.shinebeam.co.kr/","[Phone] tel:15445598","0","1","","","","","","","","https://hongdae.shinebeam.co.kr/"
"1799","우미의원","partial","https://umi-clinic.com","[KakaoTalk] https://pf.kakao.com/_xfttgn
[Line] https://line.me/ti/p/SGLrWaM5NS
[NaverMap] https://map.naver.com/p/entry/place/2020278752?placePath=%2Fhome
[Phone] tel:027780188
[WeChat] https://umi-clinic.com/images/common/qr1.png
[WhatsApp] https://api.whatsapp.com/send?phone=821051770188","0","6","","","","","","","","https://umi-clinic.com/"
"2366","샤인봄의원","success","http://shinebom.com/","[Instagram] https://www.instagram.com/shinebomclinic
[KakaoTalk] http://pf.kakao.com/_bYyIG
[Line] https://line.me/R/ti/p/@889ijrio?oat_content=url&ts=11241836#~
[NaverBlog] https://blog.naver.com/crucial5909
[NaverBooking] https://map.naver.com/p/entry/place/1053007902?lng=127.1024990&lat=37.5151330&placePath=%2Fbooking%3FbookingRedirectUrl%3Dhttps%3A%2F%2Fm.booking.naver.com%2Fbooking%2F13%2Fbizes%2F956293%26entry%3Dplt&c=15.00%2C0%2C0%2C0%2Cdh
[NaverMap] https://map.naver.com/p/entry/place/1053007902?placePath=%2Freview%2Fvisitor
[Phone] tel:024168885
[YouTube] https://www.youtube.com/@kim_uisya","2","8","김상우","대표원장","dom_text","N","경희대학교 의학전문대학원 | 경희대학교의학전문대학원 | 제증명 수수료","전) BLS 클리닉 청담 본점 원장","경희의료원 전문의 | 경희의료원 전문의","https://shinebom.com/"
"2366","샤인봄의원","success","http://shinebom.com/","[Instagram] https://www.instagram.com/shinebomclinic
[KakaoTalk] http://pf.kakao.com/_bYyIG
[Line] https://line.me/R/ti/p/@889ijrio?oat_content=url&ts=11241836#~
[NaverBlog] https://blog.naver.com/crucial5909
[NaverBooking] https://map.naver.com/p/entry/place/1053007902?lng=127.1024990&lat=37.5151330&placePath=%2Fbooking%3FbookingRedirectUrl%3Dhttps%3A%2F%2Fm.booking.naver.com%2Fbooking%2F13%2Fbizes%2F956293%26entry%3Dplt&c=15.00%2C0%2C0%2C0%2Cdh
[NaverMap] https://map.naver.com/p/entry/place/1053007902?placePath=%2Freview%2Fvisitor
[Phone] tel:024168885
[YouTube] https://www.youtube.com/@kim_uisya","2","8","홍주선","원장","dom_text","N","경희대학교 의학전문대학원 | 경희대학교의학전문대학원 | 제증명 수수료","전) BLS 클리닉 청담 본점 원장","경희의료원 전문의 | 경희의료원 전문의","https://shinebom.com/"
"3763","예쁨주의쁨의원","success","http://www.ppeum22.com","[Phone] tel:025185020","14","1","구윤경","전문의","dom_text","N","서울대학교 의과대학 졸업 | 서울대학교병원 전문의 | 고려대학교 졸업","삼성서울병원 가정의학과 전문의","","http://www.ppeum22.com/new/main/main.php?"
"3763","예쁨주의쁨의원","success","http://www.ppeum22.com","[Phone] tel:025185020","14","1","서지훈","전문의","dom_text","N","조선대학교 의과대학 졸업 | 서울대학교병원 전문의 | 고려대학교 졸업","삼성서울병원 가정의학과 전문의","","http://www.ppeum22.com/new/main/main.php?"
"3763","예쁨주의쁨의원","success","http://www.ppeum22.com","[Phone] tel:025185020","14","1","김정혁","대표원장","dom_text","N","전남대학교 의학전문대학원 졸업 | 이화여자대학교 졸업 | 전북대학교 의학전문대학원 졸업","삼성서울병원 가정의학과 전문의","","http://www.ppeum22.com/new/main/main.php?"
"3763","예쁨주의쁨의원","success","http://www.ppeum22.com","[Phone] tel:025185020","14","1","김승범","대표원장","dom_text","N","ity of Michigan AnnArbor 졸업 | 조선대학교 의학전문대학원 졸업 | 강원대학교 의과대학 졸업","삼성서울병원 가정의학과 전문의 | 전) 아이니클리닉 대표원장 | 서울대병원 수련의","대한피부레이저 학회 회원","http://www.ppeum22.com/new/main/main.php?"
"3763","예쁨주의쁨의원","success","http://www.ppeum22.com","[Phone] tel:025185020","14","1","강석훈","대표원장","dom_text","N","조선대학교 의학전문대학원 졸업 | 강원대학교 의과대학 졸업 | 영남대학교 의과대학 졸업","전) 아이니클리닉 대표원장 | 서울대병원 수련의","대한피부레이저 학회 회원 | 대한피부미용레이저의학회 정회원 | 대한필러학회 정회원","http://www.ppeum22.com/new/main/main.php?"
"3763","예쁨주의쁨의원","success","http://www.ppeum22.com","[Phone] tel:025185020","14","1","박본우","원장","dom_text","N","강원대학교 의과대학 졸업 | 영남대학교 의과대학 졸업 | 서울대학교 의과대학 졸업","전) 아이니클리닉 대표원장 | 서울대병원 수련의","대한피부레이저 학회 회원 | 대한피부미용레이저의학회 정회원 | 대한필러학회 정회원","http://www.ppeum22.com/new/main/main.php?"
"3763","예쁨주의쁨의원","success","http://www.ppeum22.com","[Phone] tel:025185020","14","1","진호성","원장","dom_text","N","영남대학교 의과대학 졸업 | 서울대학교 의과대학 졸업 | 서울대학교 병원 전문의","전) 아이니클리닉 대표원장 | 서울대병원 수련의","대한피부레이저 학회 회원 | 대한피부미용레이저의학회 정회원 | 대한필러학회 정회원","http://www.ppeum22.com/new/main/main.php?"
"3763","예쁨주의쁨의원","success","http://www.ppeum22.com","[Phone] tel:025185020","14","1","최선욱","전문의","dom_text","N","서울대학교 의과대학 졸업 | 서울대학교 병원 전문의 | 서울대학교 의과대학 졸업","전) 아이니클리닉 대표원장 | 서울대병원 수련의","대한피부레이저 학회 회원 | 대한피부미용레이저의학회 정회원 | 대한필러학회 정회원","http://www.ppeum22.com/new/main/main.php?"
"3763","예쁨주의쁨의원","success","http://www.ppeum22.com","[Phone] tel:025185020","14","1","김태범","대표원장","dom_text","N","서울대학교 의과대학 졸업 | 서울대학교 병원 전문의 | 서울대학교 의과대학 졸업","전) 아이니클리닉 대표원장 | 서울대병원 수련의","대한피부레이저 학회 회원 | 대한피부미용레이저의학회 정회원 | 대한필러학회 정회원","http://www.ppeum22.com/new/main/main.php?"
"3763","예쁨주의쁨의원","success","http://www.ppeum22.com","[Phone] tel:025185020","14","1","김지훈","대표원장","dom_text","N","과대학 졸업 | 충남의과대학 졸업 | 연세대학교 졸업","전) 아이니클리닉 대표원장 | 서울대병원 수련의","대한피부레이저 학회 회원 | 대한피부미용레이저의학회 정회원 | 대한필러학회 정회원","http://www.ppeum22.com/new/main/main.php?"
