csv_no,place_id,naver_name,naver_address,derma_specialist_count,operating_hours_json,lunch_break,last_order,closed_days_json,amenities_json,parking_available,parking_detail,description,nearest_subway_json,road_guide,homepage_url,booking_url,talktalk_url,instagram_url,blog_url,youtube_url,kakao_url,other_links_json,photo_count,home_url,information_url,photo_page_url,crawl_status,crawl_started_at,crawl_completed_at,error_messages_json
757,1071177575,다오의원,"서울특별시 중구 퇴계로 123 9층 9011호, 9012호",-1,"{""월"": ""10:00~18:00"", ""화"": ""10:00~18:00"", ""수"": ""10:00~18:00"", ""목"": ""10:00~18:00"", ""금"": ""10:00~18:00"", ""토"": ""10:00~18:00"", ""일"": ""10:00~18:00""}",12:30~13:00,17:30,,"[""남/녀 화장실 구분"", ""단체 이용 가능"", ""예약"", ""무선 인터넷"", ""간편결제"", ""주차""]",1,"주차 주차가능 유료 최초 10분 2,000원 추가 요금 10분당 2,000원, 최대 30,000원",명동역 7번출구 바로 앞 피부미용크리닉,"[{""name"": ""명동역"", ""exit"": ""7"", ""walk_time_min"": 1, ""distance_m"": 60, ""lines"": [""4호선""]}]",,https://clinicdao.com,,,https://www.instagram.com/dao-_clinic_beauty,,,,,2,https://m.place.naver.com/hospital/1071177575/home,https://m.place.naver.com/hospital/1071177575/information,https://m.place.naver.com/hospital/1071177575/photo?filterType=%EC%97%85%EC%B2%B4,success,2026-02-09T13:16:56.221057,2026-02-09T13:17:30.842985,[]
758,20373503,아름다운미탐의원 명동,서울특별시 중구 퇴계로 123 하이헤리엇 8층,0,"{""월"": ""10:00~18:00"", ""화"": ""10:00~18:00"", ""목"": ""10:00~18:00"", ""금"": ""10:00~18:00"", ""토"": ""10:00~18:00"", ""_note"": ""수요일. 목요일 예약상황에 따라 휴진""}",13:30~14:30,,"[""수 (정기휴무 (매주 수요일))"", ""일(2/15) (휴무)""]","[""예약"", ""남/녀 화장실 구분"", ""무선 인터넷"", ""대기공간"", ""주차""]",1,"주차 주차가능 유료 최초 120분 4,000원 추가 요금 10분당 1,000원, 최대 30,000원 * 2시간 주차 가능합니다. (1시간 2000원)
건물 관리실 방침상 그 이후에는 무한정산소에서 요금이 추가됩니다.
시술이 오래 걸리는 분들의 경우, 대중교통 이용을 추천드립니다 :)","22년 경력, 20만 건 이상 시술

필러 12만건
실리프팅 1만건
색소 100만개

리뷰 4.9/ 4000개 이상 (리뷰 플랫폼 도합)

국내 최초, 절개 없는 근막고정 실리프팅 발표

10년 이상 key doctor, 자문의사 활동

지난 22년 동안 약 10만 건 이상의 시술을 진행했습니다.

그 과정에서 고객분들께 어떻게 하면 더 안전하게 젊음을 드릴 수 있을까? 고민했고, 6가지 원칙을 세우게 되었습니다.

<아름다운미탐의원 6가지 원칙>

- 가능하면 절개 없는 시술
- 문제 발생 시 되돌릴 수 있는 시술
- 심각한 부작용이 없는 시술
- 회복이 빠른 시술
- 비교적 효과가 확실한 시술
- 수면 마취나 전신 마취 없이 가능한 시술

6가지 원칙을 지키는 아름다운미탐의원은 고객분들께 미(美)를 찾아드리기 위해 1가지를 약속합니다.

'1만원을 쓰시든, 10만원을 쓰시든, 100만원 그 이상을 쓰시든, 모든 분들께 최선을 다해 고민을 해결해 드리겠습니다.'","[{""name"": ""명동역"", ""exit"": ""7"", ""walk_time_min"": 1, ""distance_m"": 3, ""lines"": [""4호선""]}]",4호선 명동역 7번출구 나오신 후 HBAF 아몬드 건물 8층입니다 :),http://www.mitam.co.kr/,https://m.booking.naver.com/booking/13/bizes/1426557,,,https://blog.naver.com/cope384,https://youtube.com/@미친의사,,,14,https://m.place.naver.com/hospital/20373503/home,https://m.place.naver.com/hospital/20373503/information,https://m.place.naver.com/hospital/20373503/photo?filterType=%EC%97%85%EC%B2%B4,success,2026-02-09T13:17:35.215006,2026-02-09T13:18:02.235252,[]
759,1256803607,아르스킨의원 홍대점,서울특별시 마포구 양화로 164 5층,-1,"{""월"": ""10:30~20:30"", ""화"": ""10:30~20:30"", ""수"": ""10:30~20:30"", ""목"": ""10:30~20:30"", ""금"": ""10:30~20:30"", ""토"": ""10:30~16:30""}",,,"[""일 (정기휴무 (매주 일요일))""]","[""예약"", ""무선 인터넷"", ""남/녀 화장실 구분"", ""대기공간"", ""주차""]",1,"주차 주차가능 유료 최초 10분 1,000원 추가 요금 60분당 6,000원, 최대 15,000원 10분 1,000원
1시간 6,000원
종일주차 15,000원","내 안의 가치를 높이고,
자연스러운 아름다움을 이끌어내는 공간
<아르스킨의원 홍대점>

저가 공장형 시술이 아닌
대표원장의 세심한 1:1 진료와 전문적인 시술로
최고의 만족감을 선사하고 싶습니다.

-정직하고 꼼꼼한 1:1 맞춤 진료
-엄격한 정품/정량 사용, 정품 인증
-실리프팅/필러 3만건 이상 시술
-수면 진행 시 영상촬영 서비스
-통증 최소화를 위한 가장 얇은 바늘 234 니들 사용
-홍대입구역 8번 출구 도보 3분 거리

아르스킨의원을 찾아주시는 한 분, 한 분과 눈 맞추며
스스로의 가치를 발견하고 빛낼 수 있도록 함께 하겠습니다.","[{""name"": ""홍대입구역"", ""exit"": ""8"", ""walk_time_min"": 1, ""distance_m"": 36, ""lines"": [""공항철도"", ""2호선"", ""경의중앙선""]}]",홍대입구역 8번 출구 무신사 건물 5층,https://www.arskinclinic.co.kr,https://m.booking.naver.com/booking/13/bizes/1302310,,https://www.instagram.com/arskin_hongdae/,https://blog.naver.com/arskin_hongdae,,https://pf.kakao.com/_LIsxln,,23,https://m.place.naver.com/hospital/1256803607/home,https://m.place.naver.com/hospital/1256803607/information,https://m.place.naver.com/hospital/1256803607/photo?filterType=%EC%97%85%EC%B2%B4,success,2026-02-09T10:03:14.191452,2026-02-09T10:03:40.571455,[]
760,1295873629,풀페이스의원,서울특별시 마포구 양화로 164 동덕타워 10층,0,"{""월"": ""11:00~20:00"", ""화"": ""11:00~20:00"", ""수"": ""11:00~20:00"", ""목"": ""11:00~20:00"", ""금"": ""11:00~20:00"", ""토"": ""11:00~16:00"", ""_note"": ""일요일 정기휴진, 공휴일 휴진입니다 :)""}",14:00~15:00,,"[""일 (정기휴무 (매주 일요일))"", ""설날 연휴 (02/16~02/18)""]","[""주차"", ""남/녀 화장실 구분"", ""무선 인터넷"", ""예약""]",1,주차 주차가능,"홍대에서 만나는 섬세하고 감각적인 시술 풀페이스의원 입니다.

 '환자분의 콤플렉스는 병원에 놓고 가실 수 있게 하자'는 진료 철학을 바탕으로, 정직한 진료를 제공하고 있습니다.

10,000명 이상의 환자들을 진료하며 쌓아온 경험과 노하우를 바탕으로, 각 환자분의 피부 상태와 고민에 맞춘 맞춤형 진료를 제공합니다.

풀페이스의원은 '정직한 진료'를 최우선으로 합니다.

모든 시술에서 정품과 정량 사용을 철저히 준수하며,
환자분들께서 직접 확인하기 어려운 부분까지도 투명하게 진행합니다.
시술에 사용되는 모든 정품 팁과
재료의 적정 희석 비율을 철저히 준수하는 등
눈에 보이지 않는 곳에서도 원칙을 지킵니다.

특히 저희 병원은 직원들의 가족과
지인들도 함께 찾는 병원이라는 점이 큰 자부심입니다.

의료진의 실력과 병원의 정직성을
가장 가까이서 지켜보는 직원들이
자신의 소중한 가족과 지인들을 소개할 수 있다는 것은
저희 병원에 대한 가장 큰 신뢰의 증거라고 생각합니다.

저희는 단순히 많은 환자를 보는 것이 아닌,
한 분 한 분의 피부 고민을 진심으로 이해하고 해결하고자 합니다.
시술 전 상담에서는 피부 진단기기를 통한 정확한 진단과
환자분의 니즈를 꼼꼼히 파악하여, 가장 적합한 맞춤 솔루션을 제안해드립니다.

[진료내용]
*1:1 맞춤 필러- 특수부위 필러도 가능합니다.
얼굴 라인: 볼필러, 관자필러, 앞광대필러
이마/코: 이마필러, 하이코필러, 콧대필러
눈/입 주변: 애교필러, 입술필러, 팔자주름필러
귀 성형필러: 귓볼필러, 누운귀필러, 요정귀귀필러
체형 보완: 쇄골필러, 힙딥필러, 다리라인필러
안티에이징: 목주름필러, 손등필러, 뒤통수필러

*리프팅
울쎄라,슈링크유니버스.인모드, 실리프팅, 젠틀맥스프로플러스 LDM

*보톡스 (국산, 코어톡스, 제오민)
이마, 미간, 눈가, 콧등, 턱, 침샘, 관자, 승모근, 종아리 , 피부 , 다한증

*색소
기미, 주근깨, 점
피코하이300, 젠틀맥스프로플러스, 멀티셀

*제모, 문신제거
얼굴제모, 바디제모, 문신제거 , 아이라인, 눈썹 문신제거
젠틀맥스프로플러스, 피코하이

*스킨부스터
리쥬란, 쥬베룩, 울트라콜, 필로가135, 물광, ASCE엑소좀

*피부관리
미백, 재생, 보습, 진정, 여드름, 아쿠아필, 광채필, 뉴알라딘필, LDM리프팅

*수액주사
원장님맞춤수액, 비타민c, 비타민b, 비타민d, 태반, 신데렐라, 백옥, 감초, 마늘, 휴닥신, 아르기닌

*여드름

피부 건강과 아름다움에 대한 고민이 있으시다면, 풀페이스의원의 문을 두드려주세요. 여러분의 고민을 함께 나누고 해결하는 신뢰할 수 있는 피부과가 되겠습니다.","[{""name"": ""홍대입구역"", ""exit"": ""8"", ""walk_time_min"": 1, ""distance_m"": 36, ""lines"": [""경의중앙선"", ""2호선"", ""공항철도""]}]","2호선, 홍대입구역 8번출구 도보 1분 (경의중앙선, 공항철도)
동덕타워건물(무신사) 10층에 위치합니다.
(무료주차 1시간가능)",http://fullface.co.kr/,https://m.booking.naver.com/booking/13/bizes/293523,,http://www.instagram.com/fullfaceclinic/,https://blog.naver.com/fullfaceclinic,,,,8,https://m.place.naver.com/hospital/1295873629/home,https://m.place.naver.com/hospital/1295873629/information,https://m.place.naver.com/hospital/1295873629/photo?filterType=%EC%97%85%EC%B2%B4,success,2026-02-09T10:03:44.515780,2026-02-09T10:04:12.727485,[]
761,1247355638,클림의원 홍대점,"서울특별시 마포구 양화로 141 3층(동교동, L7홍대)",0,"{""월"": ""10:30~20:30"", ""화"": ""10:30~20:30"", ""수"": ""10:30~20:30"", ""목"": ""10:30~20:30"", ""금"": ""10:30~20:30"", ""토"": ""10:30~17:00"", ""일"": ""10:30~17:00""}",,"{""월"": ""20:00"", ""화"": ""20:00"", ""수"": ""20:00"", ""목"": ""20:00"", ""금"": ""20:00"", ""토"": ""16:30"", ""일"": ""16:30""}",,"[""예약"", ""대기공간"", ""남/녀 화장실 구분"", ""간편결제"", ""주차""]",1,주차 주차가능 무료 L7 호텔 지하,"깨끗하게 빛나는 피부, 차원이 다른 경험 클림의원 홍대점

ㅡ 홍대입구역 1번 출구 100m, 전용 지하주차장

럭셔리 피부과의 새로운 기준, 홍대피부과 클림의원 홍대점입니다.
저희는 언제나 환자 한 분 한 분의 피부 고민에 깊이 공감하며,
가장 안전하고 효과적인 솔루션을 제안하는 것을 원칙으로 삼습니다.

<클림의원만의 프리미엄 서비스>
- 야간 진료 운영 (퇴근 후 진료 가능)
- 정품 정량 사용 / 최신 프리미엄 장비 보유
- 트렌디하고 혁신적인 맞춤 피부치료
- 외국인 고객 지원 (Tax refund, WeChat Pay, Alipay)

<클림의원 진료 안내>
- 피부레이저 치료
기미, 잡티, 홍조, 색소침착, 주근깨 등
(프리미엄 레이저: 피코, IPL, 프락셀 등)
- 리프팅 & 타이트닝
슈링크, 울쎄라, 고주파, 실리프팅 등 다양한 리프팅 솔루션
- 여드름 & 흉터
맞춤형 여드름 치료, 흉터 / 모공 / 착색 집중관리
- 스킨부스터 & 피부재생
리쥬란, 쥬베룩, 스컬트라, 물광/수분주사
- 보톡스 & 필러
피부 건강 / 탄력 / 화이트닝 수액요법 등
정품 정량, 부위별 맞춤 시술(이마, 미간, 턱, 입술, 팔자 등)
- 안티에이징 / 영양주사

<클림의원의 약속>
- 무분별한 시술 권유 없이 1:1 맞춤 상담
- 피부 타입, 라이프 스타일, 예산까지 고려한 솔루션 제안
- 처음부터 끝까지 환자 입장에서 정직하고 꼼꼼하게

<진료/예약/문의>
02-6956-5786
(전화문의 / 카카오톡)

<방문 편의>
- 홍대입구역 1번 출구 100m
- 전용 지하주차장
- Tax refund & 간편 결제 지원 (WeChat Pay, Alipay 등)

클림의원 홍대점은
당신의 피부 고민을 가장 가까이에서
가장 정직하게 해결합니다.","[{""name"": ""홍대입구역"", ""exit"": ""1"", ""walk_time_min"": 2, ""distance_m"": 120, ""lines"": [""공항철도"", ""2호선"", ""경의중앙선""]}]","홍대입구역 1번 출구에서 앞으로 121m 직진 / L7호텔 위치
롯데리아/엔젤리너스/라인프렌즈 건물 3층입니다",https://kleam.kr/page/cart.html,https://m.booking.naver.com/booking/13/bizes/1311931,,https://www.instagram.com/kleam_clinic_official/,https://blog.naver.com/grey11734,https://youtube.com/@kleamclinic?si=Kj0cIax6x-I_7R7G,,"[""https://kleam.kr/"", ""https://cafe.naver.com/070family""]",21,https://m.place.naver.com/hospital/1247355638/home,https://m.place.naver.com/hospital/1247355638/information,https://m.place.naver.com/hospital/1247355638/photo?filterType=%EC%97%85%EC%B2%B4,success,2026-02-09T10:05:58.239237,2026-02-09T10:06:30.490363,[]
762,1637186355,리베리의원 명동점,"서울특별시 중구 명동10길 58 2층 201호, 3층 301호",0,"{""월"": ""10:30~20:00"", ""화"": ""10:30~20:00"", ""수"": ""10:30~20:00"", ""목"": ""10:30~20:00"", ""금"": ""10:30~20:00"", ""토"": ""10:30~19:00"", ""일"": ""10:30~19:00""}",,"{""월"": ""18:30"", ""화"": ""18:30"", ""수"": ""18:30"", ""목"": ""18:30"", ""금"": ""18:30"", ""토"": ""17:30"", ""일"": ""17:30""}",,"[""예약"", ""대기공간"", ""무선 인터넷"", ""남/녀 화장실 구분"", ""단체 이용 가능"", ""간편결제"", ""주차""]",1,주차 주차가능 무료 건물 1층 주차타워 이용하시면 됩니다. (이용 시술별 상이),"당신의 피부를 위한 맞춤 케어, 명동 리베리의원

1:1 책임 원장제로, 피부의 어제와 오늘, 그리고 내일까지 세심하게 관리해 드립니다.
당신의 피부 고민을 함께 해결하며, 더 나은 변화를 만들어 갑니다.","[{""name"": ""명동역"", ""exit"": ""8"", ""walk_time_min"": 1, ""distance_m"": 39, ""lines"": [""4호선""]}]",8번 출구 나와서 왼쪽 골목 진입 후 20m에 위치,https://md.reberryclinic.com,https://m.booking.naver.com/booking/13/bizes/1336747,http://talk.naver.com/w35l9x0?frm=mnmb,https://www.instagram.com/reberrymd_k/,,https://www.youtube.com/@CrazyForSkin,http://pf.kakao.com/_Rxjxjxbn,,17,https://m.place.naver.com/hospital/1637186355/home,https://m.place.naver.com/hospital/1637186355/information,https://m.place.naver.com/hospital/1637186355/photo?filterType=%EC%97%85%EC%B2%B4,success,2026-02-09T13:18:06.233585,2026-02-09T13:18:45.349453,[]
763,1394628774,닥터에버스의원 명동점,서울특별시 중구 퇴계로 131 신일빌딩,0,"{""월"": ""10:30~20:30"", ""화"": ""10:30~20:30"", ""수"": ""10:30~20:30"", ""목"": ""10:30~20:30"", ""금"": ""10:30~20:30"", ""토"": ""10:30~17:00"", ""일"": ""10:30~17:00"", ""_note"": ""▶2/16·18:단축진료,17(설날):휴진""}",,"{""월"": ""20:00"", ""화"": ""20:00"", ""수"": ""20:00"", ""목"": ""20:00"", ""금"": ""20:00"", ""토"": ""16:30"", ""일"": ""16:30""}","[""설날 (02/17~None)""]","[""단체 이용 가능"", ""예약"", ""무선 인터넷"", ""남/녀 화장실 구분"", ""대기공간""]",0,주차 주차 불가,"안녕하세요
건강한 아름다움,
명동 피부과 닥터에버스의원입니다.
닥터에버스는 안전하고 만족스러운 시술 결과를 제공하기 위해 최선을 다하겠습니다.

Hello.
For healthy beauty
This is Dr. Evers, a dermatology clinic in Myeongdong.
We will do our best to provide safe and satisfactory results.

[학회활동]

- 닥터에버스 카데바 워크숍 개최
- 닥터에버스X갈더마 GAIN 워크숍
- 닥터에버스X멀츠 실전 아카데미
- 울쎄라 핸즈온 세미나
- Meet The Expert 세미나
- 클래시스 리더쉽 세미나
- KALDAT 2024 국제학술포럼박람회
- 클래시스 핸즈온 세미나
- 갈더마 레스틸렌 핸즈온

[Academic Activities]

- Held Dr.Evers Cadaver Workshop
- Dr.Evers X Galderma GAIN Workshop
- Dr.Evers X MERZ Aesthetic Academy
- Ulthera Hands-on Seminar
- Meet The Expert Seminar
- Classys Leadership Seminar
- KALDAT 2024 International Academic Forum Fair
- Classys Hands-on Seminar
- Galderma Restylane Hands-on

[제공 서비스]
[Services]

1. 보톡스 / 윤곽주사 / 필러
Botox / Contouring injection / Filler

2. 각질 / 피지관리 / 스킨케어
- 아쿠아필, 라라필, LDM물방울리프팅

Dead skin cells / Sebum / Skin care
- Aquapeel, Lhalapeel, LDM water-drop lifting

3. 콜라겐 볼륨 부스터
- 레디어스, 콜라움240, 쥬베룩 볼륨

Collagen Volume Booster
- Radiesse, Collaum 240, Juvelook Volume

4. 여드름 피부 / 모공 / 흉터
- 블랙필, 얼굴알라딘필링, 에토좀PTT, 피코프락셀, 포텐자

Acne / Pore / Scar treatment
- Blackpeel, Face Aladdinpeel, Ethosome PTT, Pico Fraxel, Potenza

5. 토닝 / 색소 / 잡티개선
- 레이저토닝, 롱펄스 콜라겐토닝, 듀얼토닝, 피코토닝

Toning / Pigment / Blemishes
- Laser toning, Long pulse collagen toning, Dual toning, Pico toning

6. 콜라겐재생 / 스킨부스터
- 물광주사, 필메드, 리쥬란, 쥬베룩

Collagen Regeneration / Skinbooster
- water-light injection, Fillmed, Rejuran, Juvelook

7. 리프팅레이저
- 써마지 FLX, 덴서티, 울쎄라, 볼뉴머, 인모드, 올리지오, 슈링크유니버스

Lifting laser
- Thermage FLX, Density, Ulthera, Volnewmer, Inmode, Oligio, Shurink Universe

8. 바디라인 / 다이어트
- 바디인모드,다이어트약처방,식욕조절주사

Body / Diet
- Body inmode, Prescription weight-loss drugs, an appetite-controlled injection

9. 레이저제모
Laser hair removal

10. 가다실 / 백신 / 정맥
Gardasil / Vaccine / IV injection","[{""name"": ""명동역"", ""exit"": ""8"", ""walk_time_min"": 1, ""distance_m"": 43, ""lines"": [""4호선""]}]","대중교통으로 명동피부과 닥터에버스 오시는길

-명동역 4호선 8번출구 앞에 위치하고 있습니다",https://evers20.co.kr/,https://m.booking.naver.com/booking/13/bizes/1301363,,https://www.instagram.com/drevers_official/,https://blog.naver.com/eversmd02,https://m.youtube.com/@Drevers,,,13,https://m.place.naver.com/hospital/1394628774/home,https://m.place.naver.com/hospital/1394628774/information,https://m.place.naver.com/hospital/1394628774/photo?filterType=%EC%97%85%EC%B2%B4,success,2026-02-09T13:18:50.779298,2026-02-09T13:19:14.034091,[]
764,2030922217,제이필의원 홍대,"서울특별시 마포구 양화로 166 5층, 7층",-1,"{""월"": ""10:00~20:00"", ""화"": ""10:00~20:00"", ""수"": ""10:00~20:00"", ""목"": ""10:00~20:00"", ""금"": ""10:00~20:00"", ""토"": ""10:00~17:00"", ""_note"": ""공휴일 진료 일정은 홈페이지를 참고해주세요""}",,,"[""일 (정기휴무 (매주 일요일))"", ""설날 (02/17~None)""]","[""예약"", ""남/녀 화장실 구분"", ""대기공간"", ""간편결제"", ""주차""]",1,"주차 주차가능 무료 [1시간 주차 지원]
-중형세단 까지:건물 옆면에 기계식 주차장 (평일, 토요일 2시 이전)
-SUV, 차고 높은 차량: 좋은사람들 빌딩","제이필의원은 홍대입구역에 위치한 K-뷰티 피부과로, 보톡스, 울쎄라, 써마지 등의 시술을 통해 피부 탄력과 주름 개선, 자연스러운 리프팅 효과를 선사합니다.
저희는 외적인 변화를 넘어, 고객님들이 자신감을 느낄 수 있도록 최선을 다합니다.
여러분의 아름다움이 더욱 빛날 수 있도록 돕겠습니다.

JFeel Clinic in Hongdae offers Botox, Ultherapy, Thermage, and more to enhance skin elasticity, reduce wrinkles, and achieve lifting effects.
We strive to help you rediscover confidence beyond external changes. Let your beauty shine even brighter.

ジェイフィールクリニックは弘大に位置するKビューティの皮膚科であり、ボトックス、ウルセラ、サーマクールなどの施術を通じて、肌の弾力やシワ改善、自然なリフト効果を提供しています。
お客様が自信を持てるようお手伝いしています。皆様の美しさがさらに輝くよう、サポートいたします。

在首尔弘大JFeel诊所是一家专注于韩国美容的皮肤科诊所, 通过提供如瘦脸针, 超声刀（Ulthera）, 热玛吉（Thermage）等治疗, 帮助改善肌肤弹性与皱纹, 并带来自然的提拉效果。
我们不仅关注外在美的提升, 更致力于让每一位顾客焕发自信。
期待与您携手, 让您的美丽更加闪耀！","[{""name"": ""홍대입구역"", ""exit"": ""8"", ""walk_time_min"": 1, ""distance_m"": 13, ""lines"": [""공항철도"", ""2호선"", ""경의중앙선""]}]","홍대입구역 8번출구에서 연결됩니다. 8번출구 바로앞 1층에 스타벅스와 공차 있는 건물 5층과 7층에 위치하고 있습니다.

-5층:신환,리프팅,레이저,피부관리
-7층:신환,비만,필러,보톡스,제모

*주차: 건물 내 기계식 주차 가능(단, SUV, 토요일2시이후, 공휴일 불가)",https://hongdae.jfeelclinic.com/,https://m.booking.naver.com/booking/13/bizes/1513726,http://talk.naver.com/w4iywm?frm=mnmb,https://www.instagram.com/jfeelbeautyclinic/,https://blog.naver.com/jfeelclinic,https://www.youtube.com/jfeelclinic1,,"[""https://www.jfeelclinic.com/?idx=c5ffd1dac6058a/c68a2a9d84b61e""]",24,https://m.place.naver.com/hospital/2030922217/home,https://m.place.naver.com/hospital/2030922217/information,https://m.place.naver.com/hospital/2030922217/photo?filterType=%EC%97%85%EC%B2%B4,success,2026-02-09T10:06:41.397802,2026-02-09T10:07:13.025849,[]
765,1692380788,아비쥬의원 홍대,서울특별시 마포구 양화로 147 3층,-1,"{""월"": ""10:30~20:30"", ""화"": ""10:30~20:30"", ""수"": ""10:30~20:30"", ""목"": ""10:30~20:30"", ""금"": ""10:30~20:30"", ""토"": ""10:00~16:30"", ""_note"": ""토요일 점심시간 X / 일요일 및 공휴일 휴무""}",14:00~15:00,"{""월"": ""13:30"", ""화"": ""13:30"", ""수"": ""13:30"", ""목"": ""13:30"", ""금"": ""13:30"", ""토"": ""16:00""}","[""일 (정기휴무 (매주 일요일))"", ""설날 (02/17~None)""]","[""주차""]",1,"주차 주차가능 유료 추가 요금 10분당 3,000원, 최대 3,000원 추가 10분당 3,000원","예약문의: 카카오톡 @아비쥬홍대

01. 친절한 상담을 통한 감동 서비스 제공

02. 저렴하고 정직한 가격으로 아름다움을 선사

03. 프리미엄 장비 보유 및 업그레이드 유지

04. 정품/정량을 원칙으로 하는 아비쥬의원

05. 역세권에 위치한 우수한 접근성

[아비쥬클리닉 24시간 셀프예약 안내]
http://pf.kakao.com/_xoaLjn/chat

TOTAL BEAUTY BRAND
ABIJOU CLINIC

[Introduction]

ABIJOU CLINIC, leading the beauty trend, is a total of 18 large network clinics, providing high-quality services to customers through a classy and comfortable atmosphere.

- 18 Branches in Korea
- Over 100 Professional Medical Staffs
- Over 1,000 Employees in All Branches
- Over 350 Genuine Equipment in All Branches
- About 5 Minutes from Each Subway Station

[Treatments]
Botox / Filler / Lifting / Lasers / Skin Care / Skin Booster / Body

[Contact Us]

If you need treatment quickly,
you can get it by using the Social Media pages.
Please leave a message!

[FB] facebook.com/abijouclinic.eng
[INS] @abijouclinic_eng","[{""name"": ""홍대입구역"", ""exit"": ""1"", ""walk_time_min"": 1, ""distance_m"": 90, ""lines"": [""경의중앙선"", ""2호선"", ""공항철도""]}]",홍대입구역 1번출구 메가박스 건물 3층,http://www.abijouclinichd.com,https://m.booking.naver.com/booking/13/bizes/1330721,http://talk.naver.com/wtlx0nj?frm=mnmb,https://www.instagram.com/abijouclinic/,https://blog.naver.com/abijou0,https://www.youtube.com/channel/UCWYbJv-WsKN_-t3kb9lYRQg,,,12,https://m.place.naver.com/hospital/1692380788/home,https://m.place.naver.com/hospital/1692380788/information,https://m.place.naver.com/hospital/1692380788/photo?filterType=%EC%97%85%EC%B2%B4,success,2026-02-09T10:07:16.636996,2026-02-09T10:07:40.819961,[]
766,21560684,해피메디의원,서울특별시 중구 통일로 86 바비엥3 2층 205호,-1,"{""월"": ""13:00~20:30"", ""화"": ""13:00~20:30"", ""수"": ""13:00~20:30"", ""목"": ""13:00~20:30"", ""금"": ""13:00~20:30"", ""토"": ""11:00~16:00""}",,,"[""일 (정기휴무 (매주 일요일))""]",,,,오직 남성 수염 제모만 시술,"[{""name"": ""서대문역"", ""exit"": ""6"", ""walk_time_min"": 5, ""distance_m"": 356, ""lines"": [""5호선""]}]",,http://happymedi.net,,,,,,,,1,https://m.place.naver.com/hospital/21560684/home,https://m.place.naver.com/hospital/21560684/information,https://m.place.naver.com/hospital/21560684/photo?filterType=%EC%97%85%EC%B2%B4,success,2026-02-09T13:19:18.766445,2026-02-09T13:19:48.963201,[]
767,1663726098,샤인빔의원 홍대입구역,"서울특별시 마포구 양화로 151 욱도빌딩 5, 6, 7층",0,"{""월"": ""10:30~20:30"", ""화"": ""10:30~20:30"", ""수"": ""10:30~20:30"", ""목"": ""10:30~20:30"", ""금"": ""10:30~20:30"", ""토"": ""10:30~16:30""}",,"{""월"": ""20:00"", ""화"": ""20:00"", ""수"": ""20:00"", ""목"": ""20:00"", ""금"": ""20:00"", ""토"": ""16:00""}","[""일 (정기휴무 (매주 일요일))""]","[""예약"", ""무선 인터넷"", ""남/녀 화장실 구분"", ""주차""]",1,주차 주차가능 무료,"레이저시술 & 스킨케어에 특화되어 있는 샤인빔 클리닉은 높은 수준의 스킨케어 서비스를 합리적인 비용으로 제공합니다.

신뢰할 수 있는 홍대 샤인빔 을 만나보세요!

카카오톡 ID : 샤인빔의원홍대
카카오톡으로 간편하게 문의하고, 온라인 예약하세요! 카톡친구에게 전달되는 특별한 이벤트 소식까지!","[{""name"": ""홍대입구역"", ""exit"": ""1"", ""walk_time_min"": 1, ""distance_m"": 45, ""lines"": [""공항철도"", ""2호선"", ""경의중앙선""]}]","하나은행 건물 5층
(2호선 홍대입구역 1번출구, 도보 1분거리)",http://hongdae.shinebeam.co.kr/,https://m.booking.naver.com/booking/13/bizes/818759,,https://www.instagram.com/hongdae_shinebeam?igsh=M25nZmZ2MmdqaXNx&utm_source=qr,https://blog.naver.com/hongdaesb,,,,10,https://m.place.naver.com/hospital/1663726098/home,https://m.place.naver.com/hospital/1663726098/information,https://m.place.naver.com/hospital/1663726098/photo?filterType=%EC%97%85%EC%B2%B4,success,2026-02-09T10:07:48.660405,2026-02-09T10:08:12.068230,[]
