NO,병원/약국명,병원/약국구분,전화번호,우편번호,소재지주소,홈페이지,출처,naver_name,naver_address,naver_website,naver_category,naver_mapx,naver_mapy,naver_matched,match_reason
28,서울미의원,의원,02-871-1157,8787,"서울특별시 관악구 관악로 165, 6층 (봉천동, 홍빌딩)",,미표시_의원,서울미의원 서울대입구역본점,서울특별시 관악구 관악로 165 6층 서울미의원 서울대입구역본점,http://www.seoulmi.kr,"병원,의원>피부과",1269521916.0,374800951.0,True,address_full
30,라르떼의원,의원,02-884-2600,8787,"서울특별시 관악구 남부순환로 1814, 5층 (봉천동)",,미표시_의원,라르떼의원 서울대입구점,서울특별시 관악구 남부순환로 1814,http://larte.kr/,"병원,의원>피부과",1269516789.0,374811796.0,True,address_full
31,세이렌의원,의원,02-876-3036,8787,"서울특별시 관악구 남부순환로 1812, 윤건빌딩 5층 (봉천동)",,미표시_의원,세이렌의원,서울특별시 관악구 남부순환로 1812 윤건빌딩 5층,http://www.seirenclinic.co.kr/,"병원,의원>피부과",1269513471.0,374811325.0,True,address_full
32,미앤미의원,의원,02-877-8160,8758,"서울특별시 관악구 남부순환로 1801, 6층 (봉천동)",http://www.sjnunco.com,미표시_의원,미앤미의원 서울대입구역,서울특별시 관악구 남부순환로 1801 라피스빌딩 6층,http://su.branch.mimimi.co.kr/,"병원,의원>피부과",1269503476.0,374818209.0,True,address_full
33,리부팅의원,의원,02-522-2040,8806,"서울특별시 관악구 남부순환로 2064, 7층 (남현동)",,미표시_의원,리부팅의원,서울특별시 관악구 남부순환로 2064 7층,https://rebootingclinic.co.kr/,"병원,의원>피부과",1269780869.0,374763821.0,True,address_full
39,사당서울뷰의원,의원,02-521-4463,7025,"서울특별시 동작구 동작대로 7, 산광빌딩 3층 (사당동)",,미표시_의원,사당 서울뷰의원,서울특별시 동작구 동작대로 7 3층,https://seoulview-sadang.imweb.me/,"병원,의원>피부과",1269811278.0,374771747.0,True,address_full
41,연세마이뷰의원,의원,02-532-3322,7008,"서울특별시 동작구 사당로 301, 3층 (사당동)",,미표시_의원,연세마이뷰의원,서울특별시 동작구 사당로 301 (사당동) 3층 연세마이뷰,https://blog.naver.com/myview2014,"병원,의원>피부과",1269808096.0,374853103.0,True,address_full
42,고운채로의원,의원,0507-1303-7255,8743,"서울특별시 관악구 은천로 118, 센트럴힐즈 5층 501,504호 (봉천동)",,미표시_의원,고운채로의원,"서울특별시 관악구 은천로 118 센트럴힐즈 5층 501, 504호 고운채로의원",https://pf.kakao.com/_bxaxecn,"병원,의원>피부과",1269484411.0,374865494.0,True,address_full
43,르비브의원,의원,02-585-7588,7013,"서울특별시 동작구 동작대로 83, 헤라피스빌딩 2층 (사당동)",,미표시_의원,르비브의원,서울특별시 동작구 동작대로 83 2층,https://reviv.kr/,"병원,의원>피부과",1269816296.0,374840375.0,True,address_full
47,참맑은의원,의원,02-886-7555,8747,"서울특별시 관악구 양녕로 46, 메카플러스 3층 301호 (봉천동)",,미표시_의원,참맑은의원,서울특별시 관악구 양녕로 46 메카플러스 3층,http://www.charmclinic.kr/,"병원,의원>피부과",1269472941.0,374861893.0,True,address_full
48,진앤미의원,의원,02-542-7533,8785,"서울특별시 관악구 청룡길 48, 2층 (봉천동, 창안빌딩)",,미표시_의원,진앤미의원,서울특별시 관악구 청룡길 48 창안빌딩 2층,http://www.jnmskin.co.kr,"병원,의원>피부과",1269458544.0,374796677.0,True,address_full
49,BJ 라임의원,의원,02-588-1110,8807,"서울특별시 관악구 과천대로 939, 르메이에르강남타운2 (남현동)",,미표시_의원,BJ라임의원,서울특별시 관악구 과천대로 939 르메이에르강남타운 2층,https://blog.naver.com/tahiti1001,"병원,의원>피부과",1269813755.0,374745053.0,True,address_full
51,노바의원,의원,02-889-7707,8747,"서울특별시 관악구 은천로 110, 303호 (봉천동, 더블유에스타워)",,미표시_의원,노바의원,서울특별시 관악구 은천로 110 WS타워 3층 303호,,"병원,의원>피부과",1269475090.0,374867293.0,True,address_full
53,라마르의원,의원,02-537-8575,7008,"서울특별시 동작구 동작대로 109, 5층 (사당동, 경문빌딩)",http://www.isu-lamarskin.com,미표시_의원,라마르의원 이수역,서울특별시 동작구 동작대로 109 5층 라마르의원,http://www.isu-lamarskin.com/,"병원,의원>피부과",1269816830.0,374863038.0,True,address_full
54,윤수정의원,의원,02-599-3542,7008,"서울특별시 동작구 동작대로 109, 4층 (사당동, 경문빌딩)",,미표시_의원,윤수정의원,서울특별시 동작구 동작대로 109 4층 윤수정의원,https://yoonclinic.mobidoc.us/,"병원,의원>피부과",1269816830.0,374863038.0,True,address_full
56,뷰티스톤의원,의원,02-525-6121,6675,"서울특별시 서초구 서초대로 2, 이수파이브 6층 (방배동)",,미표시_의원,뷰티스톤의원 이수역,서울특별시 서초구 서초대로 2 이수파이브 6층,http://www.beautystoneisu.com,"병원,의원>피부과",1269827593.0,374851113.0,True,address_full
57,라인업의원,의원,3477-7412,7008,"서울특별시 동작구 동작대로 119, 4층 (사당동, 금성빌딩)",www.lineupclinic.co.kr/,미표시_의원,라인업의원,서울특별시 동작구 동작대로 119 금성빌딩 4층,https://blog.naver.com/lineupclinic,"병원,의원>피부과",1269818756.0,374872512.0,True,address_full
58,에센셜(ESSENTIAL)의원,의원,02-6959-6025,6693,"서울특별시 서초구 방배천로2길 10, JBI빌딩 8층 (방배동)",,미표시_의원,에센셜의원,서울특별시 서초구 방배천로2길 10 JBI빌딩 8층,https://www.essentialclinic.co.kr/,"병원,의원>피부과",1269833178.0,374767608.0,True,address_full
59,고운미의원,의원,02-3482-8875,7008,"서울특별시 동작구 동작대로 121, 2층 (사당동, 경원빌딩)",http://www.gounmiclinic.co.kr,미표시_의원,고운미의원,서울특별시 동작구 동작대로 121 경원빌딩 2층 고운미의원,http://www.gounmiclinic.co.kr/,"병원,의원>피부과",1269818880.0,374874690.0,True,address_full
60,다올린의원,의원,535-1152,6568,"서울특별시 서초구 서초대로 3-4, 3층 302호 (방배동, 방배디오슈페리움1)",,미표시_의원,다올린의원,서울특별시 서초구 서초대로 3-4 방배디오슈페리움 1차 302호,https://www.instagram.com/daolin_clinic,"병원,의원>피부과",1269831028.0,374858975.0,True,address_full
63,뷰티크의원,의원,02-535-2462,6568,"서울특별시 서초구 동작대로 114, (재)원불교 유문빌딩 6층 (방배동)",,미표시_의원,뷰티크의원 방배이수,서울특별시 서초구 동작대로 114 6층,https://beautyqueclinic1.com/?utm_source=naver&utm_medium=referral&utm_campaign=PL_BB,"병원,의원>피부과",1269827042.0,374868002.0,True,address_full
65,연세탑뷰티의원,의원,02-533-4287,6568,"서울특별시 서초구 동작대로 118, 5층 502호 (방배동)",http://www.sbclinic.kr/,미표시_의원,연세탑뷰티의원,서울특별시 서초구 동작대로 118 예다인프라자빌딩 5층 502호,http://www.sbclinic.kr/,"병원,의원>피부과",1269827310.0,374870428.0,True,address_full
68,피어봄의원,의원,1577-8346,6567,"서울특별시 서초구 동작대로 132, 6층 (방배동, 안석빌딩)",,미표시_의원,피어봄의원 이수역,서울특별시 서초구 동작대로 132 안석빌딩 6층,http://sc.pieobom.com/,"병원,의원>피부과",1269826590.0,374882390.0,True,address_full
74,삼성의원,의원,816-3352,7040,"서울특별시 동작구 상도로 356, 3,4층 (상도동)",,미표시_의원,삼성피부과산부인과,서울특별시 동작구 상도로 356,https://blog.naver.com/redorange3231,"병원,의원>피부과",1269528300.0,374967890.0,True,address_full
90,허스킨의원,의원,02-3482-7006,6572,"서울특별시 서초구 방배로 177, 8층 (방배동, 레마빌딩)",http://www.rbskin.com,미표시_의원,허스킨의원,서울특별시 서초구 방배로 177,https://blog.naver.com/rbskin,"병원,의원>피부과",1269923409.0,374892689.0,True,address_full
93,연세봄의원,의원,02-537-1123,6586,"서울특별시 서초구 방배로 174, 3층 (방배동, 내방빌딩)",,미표시_의원,연세봄의원,서울특별시 서초구 방배로 174 내방빌딩 3층,https://blog.naver.com/doctorpjs,"병원,의원>피부과",1269931328.0,374890876.0,True,address_full
94,이정훈의원,의원,02-594-8161,6584,"서울특별시 서초구 동광로 75, (방배동)",,미표시_의원,이정훈의원,서울특별시 서초구 동광로 75 3층 이정훈의원,,"병원,의원>피부과",1269906890.0,374930570.0,True,address_full
100,라셀의원,의원,02-523-7550,6683,"서울특별시 서초구 방배로 103, 디엠타워 6층 (방배동)",,미표시_의원,라셀의원,서울특별시 서초구 방배로 103 6층,http://lacellclinic.com,"병원,의원>피부과",1269961839.0,374832661.0,True,address_full
104,청담맥의원,의원,02-877-6071,8844,"서울특별시 관악구 신림로 261, 2,3층 (신림동)",,미표시_의원,청담맥의원,서울특별시 관악구 신림로 261 3층,,"병원,의원>피부과",1269321780.0,374780600.0,True,address_full
106,뷰티라운지의원,의원,02-6248-7582,6665,"서울특별시 서초구 효령로33길 55, 디엠타워동관 5층 (방배동)",http://bangbae.beautyloungeclinic.com/,미표시_의원,뷰티라운지의원 방배점,서울특별시 서초구 효령로33길 55 5층,https://blog.naver.com/beautylbb,"병원,의원>피부과",1269967879.0,374836191.0,True,address_full
109,비앤유의원,의원,525-3599,6686,"서울특별시 서초구 방배로 81, 3층 (방배동, 유경빌딩)",,미표시_의원,비앤유의원,서울특별시 서초구 방배로 81 유경빌딩 3층,http://www.bnuclinic.com/,"병원,의원>피부과",1269971750.0,374816510.0,True,address_full
114,오롯의원,의원,02-2088-5552,6980,"서울특별시 동작구 서달로 150, 2층 216호 (흑석동, 이랜드해가든)",,미표시_의원,오롯의원,서울특별시 동작구 서달로 150 2층 216호,https://www.orotclinic.kr,"병원,의원>피부과",1269624372.0,375066517.0,True,address_full
120,미앤아이의원,의원,523-7988,6704,"서울특별시 서초구 방배로 76, 머리재빌딩 207,203일부호 (방배동)",,미표시_의원,미앤아이의원 방배점,서울특별시 서초구 방배로 76 머리재빌딩,http://www.bb-meiclinic.co.kr/,"병원,의원>피부과",1269981250.0,374811749.0,True,address_full
121,삼성필의원,의원,02-821-1001,6972,"서울특별시 동작구 흑석로 106-7, (흑석동)",,미표시_의원,삼성필의원,서울특별시 동작구 흑석로 106-7,https://feel-clinic.co.kr/,"병원,의원>피부과",1269615167.0,375078273.0,True,address_full
123,닥터제이미의원,의원,02-889-2525,8754,"서울특별시 관악구 신림로 340, 8층 (신림동)",,미표시_의원,닥터제이미의원,서울특별시 관악구 신림로 340 르네상스쇼핑몰 8층,https://blog.naver.com/dr-jamie,"병원,의원>피부과",1269300161.0,374849013.0,True,address_full
124,아너스킨의원,의원,02-522-7007,6703,"서울특별시 서초구 방배로 43, TJ빌딩 3층 (방배동)",,미표시_의원,아너스킨의원,서울특별시 서초구 방배로 43 3층,https://honorskinclinic.com,"병원,의원>피부과",1269992142.0,374785382.0,True,address_full
139,르에이치의원,의원,,6575,"서울특별시 서초구 사평대로18길 5, 위너빌딩 2층 (반포동)",,미표시_의원,르에이치의원,서울특별시 서초구 사평대로18길 5 위너빌딩 2층,http://www.lehclinic.co.kr,"병원,의원>피부과",1269958345.0,374986482.0,True,address_full
143,에이앤드의원,의원,02-3478-8717,6581,"서울특별시 서초구 서래로 17, 럭스빌딩 2층 (반포동)",,미표시_의원,에이앤드의원,서울특별시 서초구 서래로 17 2층,https://aandclinic.com,"병원,의원>피부과",1269980229.0,374966765.0,True,address_full
146,프라임의원,의원,02-826-2080,6956,"서울특별시 동작구 상도로 174, 5층 (상도동)",http://primeskin.co.kr,미표시_의원,프라임의원,서울특별시 동작구 상도로 174 동서남북빌딩 5층,http://primeskin.co.kr/,"병원,의원>피부과",1269384110.0,375042980.0,True,address_full
154,서울동안미의원,의원,02-875-5355,8706,"서울특별시 관악구 봉천로 212, 2층 (신림동)",,미표시_의원,서울동안미의원,서울특별시 관악구 봉천로 212 2층 서울동안미의원,https://www.instagram.com/seoul_donganme_clinic1,"병원,의원>피부과",1269250741.0,374896528.0,True,address_full
155,참고은의원,의원,02-3280-7922,7041,"서울특별시 동작구 상도로 92, 성대메디컬 6층 (상도동)",,미표시_의원,참고은의원,서울특별시 동작구 상도로 92 6층,https://pf.kakao.com/_XrEln,"병원,의원>피부과",1269309795.0,374996579.0,True,address_full
160,리본의원,의원,02-6964-8575,6952,"서울특별시 동작구 상도로 93, 3층 (상도동)",,미표시_의원,리본의원,서울특별시 동작구 상도로 93 미미빌딩 3층,http://reborncorea.com/,"병원,의원>피부과",1269308466.0,375001200.0,True,address_full
165,스타일미의원,의원,02-832-9359,7071,"서울특별시 동작구 보라매로5가길 16, 510호 (신대방동, 보라매아카데미타워)",http://www.stylemeclinic.co.kr/,미표시_의원,스타일미의원,서울특별시 동작구 보라매로5가길 16 보라매아카데미타워 5층,https://pf.kakao.com/_tfyyl,"병원,의원>피부과",1269241660.0,374911920.0,True,address_full
166,연세조이의원,의원,02-816-8300,6953,"서울특별시 동작구 상도로 81, 302호 (대방동)",http://www.joyclinic.co.kr,미표시_의원,연세조이의원 동작점,서울특별시 동작구 상도로 81 성모빌딩 3층,http://www.joyclinic.co.kr/,"병원,의원>피부과",1269295425.0,374999571.0,True,address_full
169,닥터방의원,의원,02-525-9990,6713,"서울특별시 서초구 남부순환로 2349-13, 3층 (서초동, 예술전당타워)",,미표시_의원,닥터방의원,서울특별시 서초구 남부순환로 2349-13 예술전당타워 3층,http://doctorbang.co.kr/main/ko/index.html,"병원,의원>피부과",1270079087.0,374789980.0,True,address_full
172,미즈여성의원,의원,02-815-6800,7055,"서울특별시 동작구 보라매로 113, (대방동)",,미표시_의원,미즈여성의원,서울특별시 동작구 보라매로 113 코스모빌딩,,"병원,의원>피부과",1269278725.0,374994426.0,True,address_full
178,청아의원,의원,02-852-8270,8763,"서울특별시 관악구 남부순환로161길 70, 3층 (신림동)",,미표시_의원,청아의원,서울특별시 관악구 남부순환로161길 70,,"병원,의원>피부과",1269187580.0,374853410.0,True,address_full
182,셀이즈연세메디컬의원,의원,043-845-8270,6710,"서울특별시 서초구 효령로 244, 메타제이빌딩 2~5, 7층 (서초동)",,미표시_의원,셀이즈연세메디컬의원,서울특별시 서초구 효령로 244,http://cellis.co.kr/,"병원,의원>피부과",1270107740.0,374837141.0,True,address_full
186,웰스킨의원,의원,02-532-7579,6506,"서울특별시 서초구 반포대로 291, 원베일리 스퀘어 5층 531~534호 (반포동)",,미표시_의원,웰스킨의원,서울특별시 서초구 반포대로 291 원베일리스퀘어 531~534호,http://www.wellskinclinic.net/,"병원,의원>피부과",1269990962.0,375049728.0,True,address_full
198,연세탑의원,의원,593-8181,6512,"서울특별시 서초구 신반포로 157, 1동 3층 (잠원동, 반포쇼핑상가)",,미표시_의원,연세탑의원,서울특별시 서초구 신반포로 157 반포쇼핑타운 1동 3층,,"병원,의원>피부과",1270014973.0,375055153.0,True,address_full
200,봄빛의원,의원,02-6951-2870,4426,"서울특별시 용산구 이촌로88길 16, 미학빌딩 3층 (이촌동)",,미표시_의원,봄빛의원,서울특별시 용산구 이촌로88길 16 미학빌딩 3층,https://www.bomvitclinic.com,"병원,의원>피부과",1269776917.0,375178384.0,True,address_full
201,새론바디의원,의원,02-3486-8517,6645,"서울특별시 서초구 서초대로 270, 서보빌딩 2층 (서초동)",,미표시_의원,새론바디의원,서울특별시 서초구 서초대로 270 서보빌딩 2층,http://saeronbody-clinic.com/,"병원,의원>피부과",1270113760.0,374926697.0,True,address_full
206,하얀의원,의원,02-822-5857,7055,"서울특별시 동작구 여의대방로 142, 4층 (대방동)",,미표시_의원,하얀의원,서울특별시 동작구 여의대방로 142 보라매빌딩4층,http://boramaewhiteskin.com/,"병원,의원>피부과",1269207119.0,374997034.0,True,address_full
207,닥터엠의원,의원,02-830-2020,8767,"서울특별시 관악구 난곡로 327-1, 2~4층 (신림동)",,미표시_의원,닥터엠의원,서울특별시 관악구 난곡로 327-1 3층,https://blog.naver.com/iamthelord,"병원,의원>피부과",1269140016.0,374833130.0,True,address_full
209,리필업의원,의원,02-533-1917,6512,"서울특별시 서초구 신반포로 177, 3동 3층 1,2,3호 (잠원동, 반포쇼핑타운)",,미표시_의원,리필업의원,서울특별시 서초구 신반포로 177 반포쇼핑타운 3동 301호,http://www.refeelup.com/,"병원,의원>피부과",1270031970.0,375059600.0,True,address_full
216,아르떼의원,의원,02-525-2314,6644,"서울특별시 서초구 서초중앙로 113, 영한빌딩 4층 (서초동)",,미표시_의원,아르떼의원 서초 본원,서울특별시 서초구 서초중앙로 113 영한빌딩 4층,https://youtube.com/@sisulqueen1,"병원,의원>피부과",1270136790.0,374919119.0,True,address_full
219,서울크리스탈의원,의원,3472-7585,6596,"서울특별시 서초구 서초중앙로 147, 서초법조타운 302호 (서초동)",,미표시_의원,서울크리스탈의원,서울특별시 서초구 서초중앙로 147 302호,http://crystalskin.co.kr,"병원,의원>피부과",1270131465.0,374949658.0,True,address_full
220,연세고운미의원,의원,02-833-9549,7433,"서울특별시 영등포구 여의대방로 95, 태창빌딩 2층 1호 (신길동)",,미표시_의원,연세고운미의원,서울특별시 영등포구 여의대방로 95 2층,https://www.youtube.com/@YONSEIGOUNMI,"병원,의원>피부과",1269171641.0,374975766.0,True,address_full
227,메이린의원,의원,02-733-2638,6545,"서울특별시 서초구 사평대로 205, 1층 (반포동)",www.auradr.com,미표시_의원,메이린의원 반포,서울특별시 서초구 사평대로 205 센트럴시티 파미에스테이션 1층,https://maylin.co.kr/banpo/,"병원,의원>피부과",1270053049.0,375033379.0,True,address_full
228,메디라인의원,의원,587-4466,6634,"서울특별시 서초구 서초대로 302, 교대역인앤인오피스 1001호 (서초동)",http://cafe.daum.net/emediline,미표시_의원,메디라인의원,서울특별시 서초구 서초대로 302,http://emediline.co.kr/,"병원,의원>피부과",1270146311.0,374937215.0,True,address_full
229,연세셀즈의원,의원,02-523-7579,6634,"서울특별시 서초구 서초대로 302, 교대역인앤인오피스 11층 (서초동)",,미표시_의원,연세셀즈의원,서울특별시 서초구 서초대로 302 11층,https://blog.naver.com/dr-jj,"병원,의원>피부과",1270147172.0,374937277.0,True,address_full
230,서울에스(S)의원,의원,02-537-0970,6606,"서울특별시 서초구 서초대로 307, 가동 401호 (서초동, 장안빌딩)",,미표시_의원,서울에스의원 서초교대역,서울특별시 서초구 서초대로 307 장안빌딩 가동 4층,https://blog.naver.com/sclinic7,"병원,의원>피부과",1270152963.0,374944197.0,True,address_full
234,지젤의원,의원,02-592-0045,6606,"서울특별시 서초구 서초중앙로24길 16, 7층 (서초동)",,미표시_의원,지젤의원,서울특별시 서초구 서초중앙로24길 16 . 7층,https://blog.naver.com/missy888,"병원,의원>피부과",1270152578.0,374946882.0,True,address_full
238,르웰(LEWELL)의원,의원,02-0000-0000,6512,"서울특별시 서초구 신반포로 213, 반포쇼핑타운 1층 5,6,16,17,25,26,35,36,37호 (잠원동)",,미표시_의원,르웰의원,서울특별시 서초구 신반포로 213 반포쇼핑타운 7동 1층,https://lewellclinic.com/,"병원,의원>피부과",1270072481.0,375071760.0,True,address_full
239,민에스의원,의원,02-586-0033,6721,"서울특별시 서초구 효령로60길 21, 1층 (서초동)",http://www.min-s.co.kr,미표시_의원,민에스의원,서울특별시 서초구 효령로60길 21,http://www.min-s-clinic.com/,"병원,의원>피부과",1270188727.0,374845223.0,True,address_full
240,연세메디노블의원,의원,790-2175,4385,"서울특별시 용산구 서빙고로 69, 24,26호 (용산동5가, 파크타워아파트)",http://www.medinoble.com,미표시_의원,연세메디노블의원,"서울특별시 용산구 서빙고로 69 파크타워아파트 106동 1층 24, 26호",https://youtube.com/medinobleclinic,"병원,의원>피부과",1269734592.0,375229720.0,True,address_full
246,수의원,의원,02-537-7567,6599,"서울특별시 서초구 고무래로 32, 401호 (반포동, 반포메딕스)",,미표시_의원,수의원,서울특별시 서초구 고무래로 32 반포트라이엄프메딕스빌딩,,"병원,의원>피부과",1270120898.0,375025047.0,True,address_full
247,연세청아린의원,의원,02-599-5575,6601,"서울특별시 서초구 서초중앙로24길 27, G5센트럴프라자 2층 227호 (서초동)",,미표시_의원,연세청아린의원,서울특별시 서초구 서초중앙로24길 27 G5센트럴프라자 2층 227호,https://www.calclinic.co.kr/,"병원,의원>피부과",1270164171.0,374954178.0,True,address_full
248,블리스의원,의원,,6597,"서울특별시 서초구 서초중앙로 238, 삼호가든쇼핑센타 3층 305호 (반포동)",,미표시_의원,블리스의원 반포,서울특별시 서초구 서초중앙로 238 3층 305호 블리스의원,https://www.fybliss-clinic.com,"병원,의원>피부과",1270122571.0,375029269.0,True,address_full
250,더웰니스의원,의원,,6512,"서울특별시 서초구 신반포로 219, 반포쇼핑타운 8동 2층 1~2호 (잠원동)",,미표시_의원,더웰니스의원,서울특별시 서초구 신반포로 219 8동 2층 1~2호,https://thewellnessclinic.co.kr/,"병원,의원>피부과",1270080778.0,375075097.0,True,address_full
254,피엘의원,의원,,4387,"서울특별시 용산구 서빙고로 17, 용산센트럴파크해링턴스퀘어 2층 53,54,55,56호 (한강로3가)",,미표시_의원,피엘의원 용산,서울특별시 용산구 서빙고로 17 용산센트럴파크해링턴스퀘어 A몰 2층 54호,http://pielclinic.co.kr/,"병원,의원>피부과",1269671282.0,375257707.0,True,address_full
257,엘로페의원,의원,02-533-2103,6607,"서울특별시 서초구 서초대로 347, 서초크로바타워 4층 401호 (서초동)",,미표시_의원,엘로페의원,"서울특별시 서초구 서초대로 347 서초크로바타워, 4층",https://elrophe.com,"병원,의원>피부과",1270193718.0,374956964.0,True,address_full
263,연세미엔의원,의원,02-844-5718,7436,"서울특별시 영등포구 신길로 36, 3층 (신길동)",http://,미표시_의원,연세미엔의원,서울특별시 영등포구 신길로 36,,"병원,의원>피부과",1269086539.0,374957369.0,True,address_full
264,다미의원,의원,02-761-1188,7333,"서울특별시 영등포구 여의대방로 375, 9층 (여의도동, 아일렉스타워)",http://www.damiskin.com,미표시_의원,다미의원,서울특별시 영등포구 여의대방로 375 아일렉스타워 9층 다미의원,http://www.damiskin.com/,"병원,의원>피부과",1269307740.0,375188020.0,True,address_full
268,서울자이의원,의원,02-591-3311,6544,"서울특별시 서초구 사평대로45길 10-25, 402호 (반포동, 베리스타운)",,미표시_의원,서울자이의원,서울특별시 서초구 사평대로45길 10-25 반포자이주구중심상가 2동 402호,,"병원,의원>피부과",1270139187.0,375066147.0,True,address_full
271,밴스의원,의원,02-6956-0508,7333,"서울특별시 영등포구 여의대방로67길 11, 6층 (여의도동)",,미표시_의원,밴스의원 여의도,서울특별시 영등포구 여의대방로67길 11 6층,https://yeouido.vandsclinic.co.kr/,"병원,의원>피부과",1269302633.0,375197531.0,True,address_full
272,글로웰의원,의원,02-2631-9900,7333,"서울특별시 영등포구 의사당대로1길 34, 302호 (여의도동, 인영빌딩)",,미표시_의원,글로웰의원,서울특별시 영등포구 의사당대로1길 34 3층,https://www.youtube.com/channel/UC4QQoSyFPbvnYW0zQNZIIKw,"병원,의원>피부과",1269306369.0,375200778.0,True,address_full
274,기앤미의원,의원,02-785-2557,7332,"서울특별시 영등포구 의사당대로1길 11, 2층 (여의도동, 메종리브르오피스텔)",,미표시_의원,기앤미의원,서울특별시 영등포구 의사당대로1길 11 대우메종 빌딩 2층 기앤미의원,,"병원,의원>피부과",1269285671.0,375191967.0,True,address_full
275,닥터은빛의원,의원,,6723,"서울특별시 서초구 남부순환로337가길 71, 6층 (서초동)",,미표시_의원,닥터은빛의원,서울특별시 서초구 남부순환로337가길 71 마인즈그라운드 빌딩 6층 닥터은빛의원,https://www.dreunvit.com,"병원,의원>피부과",1270247100.0,374851503.0,True,address_full
276,블루릿지의원,의원,02-783-7501,7333,"서울특별시 영등포구 국제금융로 78, 홍우빌딩 401호 (여의도동)",http://blueclinic.co.kr,미표시_의원,블루릿지의원,서울특별시 영등포구 국제금융로 78 4층,http://www.blueclinic.co.kr/,"병원,의원>피부과",1269311231.0,375207998.0,True,address_full
